instrument_key,symbol,sector
NSE_EQ|INE002A01018,RELIANCE,Energy
NSE_EQ|INE467B01029,TCS,IT
NSE_EQ|INE009A01021,INFY,IT
NSE_EQ|INE040A01034,HDFCBANK,Banking
NSE_EQ|INE238A01034,AXISBANK,Banking
NSE_EQ|INE090A01021,ICICIBANK,Banking
NSE_EQ|INE030A01027,HINDUNILVR,FMCG
NSE_EQ|INE062A01020,SBIN,Banking
NSE_EQ|INE154A01025,ITC,FMCG
NSE_EQ|INE018A01030,LT,Infra
NSE_EQ|INE397D01024,BHARTIARTL,Telecom
NSE_EQ|INE585B01010,MARUTI,Auto
NSE_EQ|INE101A01026,M&M,Auto
NSE_EQ|INE155A01022,TATAMOTORS,Auto
NSE_EQ|INE081A01020,TATASTEEL,Metals
NSE_EQ|INE522F01014,COALINDIA,Energy
NSE_EQ|INE361B01024,DIVISLAB,Pharma
NSE_EQ|INE059A01026,CIPLA,Pharma
NSE_EQ|INE044A01036,SUNPHARMA,Pharma
NSE_EQ|INE213A01029,ONGC,Energy
NSE_EQ|INE752E01010,POWERGRID,Utilities
NSE_EQ|INE733E01010,NTPC,Utilities
NSE_EQ|INE917I01010,BAJAJ-AUTO,Auto
NSE_EQ|INE918I01026,BAJAJFINSV,Financials
NSE_EQ|INE296A01024,BAJFINANCE,Financials
NSE_EQ|INE029A01011,BPCL,Energy
NSE_EQ|INE066A01021,EICHERMOT,Auto
NSE_EQ|INE280A01028,TITAN,Consumer
NSE_EQ|INE158A01026,HEROMOTOCO,Auto
NSE_EQ|INE860A01027,HCLTECH,IT
